user_id,user_alias,appid,game_name,predicted_rating
76561198066328851,user0,311340,METAL GEAR SOLID V: GROUND ZEROES,5.0
76561198066328851,user0,298110,Far Cry® 4,5.0
76561198066328851,user0,428690,Youtubers Life,5.0
76561198066328851,user0,421020,DiRT 4,5.0
76561198066328851,user0,645630,Car Mechanic Simulator 2018,5.0
76561198066328851,user0,202970,Call of Duty®: Black Ops II,5.0
76561198066328851,user0,255220,GRID Autosport,5.0
76561198066328851,user0,314160,Microsoft Flight Simulator X: Steam Edition,5.0
76561198066328851,user0,405310,LEGO® MARVEL's Avengers,5.0
76561198066328851,user0,300380,Road Redemption,5.0
76561197960434622,user1,409600,Contract With The Devil,5.0
76561197960434622,user1,628760,The Adventurer - Episode 1: Beginning of the End,5.0
76561197960434622,user1,315430,Polarity,5.0
76561197960434622,user1,292910,Deponia: The Complete Journey,5.0
76561197960434622,user1,444480,Broken Dreams,5.0
76561197960434622,user1,485450,Ninja Stealth,5.0
76561197960434622,user1,391260,Labyronia RPG,5.0
76561197960434622,user1,483420,Adam Wolfe,5.0
76561197960434622,user1,686200,Door Kickers: Action Squad,5.0
76561197960434622,user1,391310,Alien Attack,5.0
76561198016215597,user2,40990,Mafia,5.0
76561198016215597,user2,351290,SURVIVAL,5.0
76561198016215597,user2,235600,Tom Clancy’s Splinter Cell Blacklist,5.0
76561198016215597,user2,333930,Dirty Bomb®,5.0
76561198016215597,user2,603260,The Cat Games,5.0
76561198016215597,user2,544920,Darwin Project,5.0
76561198016215597,user2,94400,Nidhogg,5.0
76561198016215597,user2,352460,Dead Realm,5.0
76561198016215597,user2,286940,S.K.I.L.L. - Special Force 2 (Shooter),5.0
76561198016215597,user2,485610,Ball 3D: Soccer Online,5.0
76561198202525417,user3,388620,DungeonUp,5.0
76561198202525417,user3,214550,Eets Munchies,5.0
76561198202525417,user3,296470,Mount Your Friends,5.0
76561198202525417,user3,365590,Tom Clancy’s The Division™,5.0
76561198202525417,user3,447040,Watch_Dogs® 2,5.0
76561198202525417,user3,107100,Bastion,5.0
76561198202525417,user3,410210,Ampersand,5.0
76561198202525417,user3,386160,Vampire of the Sands,5.0
76561198202525417,user3,220860,McPixel,5.0
76561198202525417,user3,235720,Cubetractor,5.0
76561198029242928,user4,38400,Fallout: A Post Nuclear Role Playing Game,5.0
76561198029242928,user4,373770,LiEat,5.0
76561198029242928,user4,345180,Victor Vran ARPG,5.0
76561198029242928,user4,275100,Shelter 2,5.0
76561198029242928,user4,552620,ATOM RPG: Post-apocalyptic indie game,5.0
76561198029242928,user4,233190,Final Exam,5.0
